State,District,Year,Area (Hectare),Production (Tonnes),Yield (Kg/Ha),Crop,Season,ndvi_mean,ndvi_max,ndvi_std,ndvi_reading_count
1. Karnataka,CHITRADURGA,2013,8957.0,7250.0,0.81,Arhar,Kharif,,,,
1. Karnataka,CHITRADURGA,2014,8728.0,7205.0,0.83,Arhar,Kharif,,,,
1. Karnataka,CHITRADURGA,2015,9587.0,9581.0,1.0,Arhar,Kharif,,,,
1. Karnataka,CHITRADURGA,2016,23759.0,6568.0,0.28,Arhar,Kharif,,,,
1. Karnataka,CHITRADURGA,2017,13338.0,10099.0,0.76,Arhar,Kharif,,,,
1. Karnataka,CHITRADURGA,2018,4054.0,1806.0,0.45,Arhar,Kharif,,,,
1. Karnataka,CHITRADURGA,2019,5773.0,2687.0,0.47,Arhar,Kharif,0.1231,0.1231,,1.0
1. Karnataka,CHITRADURGA,2020,4883.0,3179.0,0.65,Arhar,Kharif,0.053866666666666674,0.085,0.02806783449668559,3.0
1. Karnataka,DAKSHI,2010,,,,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2011,,,,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2012,,,,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2013,,,,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2014,,,,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2015,,,,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2016,,,,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2017,,,,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2018,1.0,1.0,1.0,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2019,1.0,1.0,1.0,Arhar,Kharif,,,,
1. Karnataka,DAKSHI,2020,,,,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2010,6270.0,6689.0,1.07,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2011,8352.0,6927.0,0.83,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2012,7903.0,4520.0,0.57,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2013,8145.0,6152.0,0.76,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2014,4403.0,6224.0,1.41,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2015,8373.0,5361.0,0.64,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2016,12611.0,7727.0,0.61,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2017,8143.0,8440.0,1.04,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2018,4750.0,4955.0,1.04,Arhar,Kharif,,,,
1. Karnataka,DAVANGERE,2019,646.0,298.0,0.46,Arhar,Kharif,0.17971666666666666,0.2563,0.09321944897212527,6.0
1. Karnataka,DAVANGERE,2020,510.0,435.0,0.85,Arhar,Kharif,0.214975,0.3737,0.16721428118834028,4.0
1. Karnataka,DHARWAD,2010,3618.0,2083.0,0.58,Arhar,Kharif,,,,
1. Karnataka,DHARWAD,2011,2897.0,1841.0,0.64,Arhar,Kharif,,,,
1. Karnataka,DHARWAD,2012,1292.0,404.0,0.31,Arhar,Kharif,,,,
1. Karnataka,DHARWAD,2013,2694.0,1996.0,0.74,Arhar,Kharif,,,,
1. Karnataka,DHARWAD,2014,1609.0,1637.0,1.02,Arhar,Kharif,,,,
1. Karnataka,DHARWAD,2015,1002.0,267.0,0.27,Arhar,Kharif,,,,
1. Karnataka,DHARWAD,2016,1551.0,805.0,0.52,Arhar,Kharif,,,,
1. Karnataka,DHARWAD,2017,881.0,375.0,0.43,Arhar,Kharif,,,,
1. Karnataka,DHARWAD,2018,628.0,184.0,0.29,Arhar,Kharif,,,,
1. Karnataka,DHARWAD,2019,545.0,389.0,0.71,Arhar,Kharif,0.54182,0.7676,0.253558922146313,5.0
1. Karnataka,DHARWAD,2020,283.0,161.0,0.57,Arhar,Kharif,0.37535999999999997,0.6946,0.2818805364993171,15.0
1. Karnataka,GADAG,2010,2783.0,1142.0,0.41,Arhar,Kharif,,,,
1. Karnataka,GADAG,2011,2749.0,854.0,0.31,Arhar,Kharif,,,,
1. Karnataka,GADAG,2012,1737.0,391.0,0.23,Arhar,Kharif,,,,
1. Karnataka,GADAG,2013,1808.0,670.0,0.37,Arhar,Kharif,,,,
1. Karnataka,GADAG,2014,1540.0,726.0,0.47,Arhar,Kharif,,,,
1. Karnataka,GADAG,2015,1651.0,289.0,0.18,Arhar,Kharif,,,,
1. Karnataka,GADAG,2016,3482.0,1684.0,0.48,Arhar,Kharif,,,,
1. Karnataka,GADAG,2017,3373.0,2150.0,0.64,Arhar,Kharif,,,,
1. Karnataka,GADAG,2018,2975.0,791.0,0.27,Arhar,Kharif,,,,
1. Karnataka,GADAG,2019,878.0,449.0,0.51,Arhar,Kharif,0.4789,0.4789,,1.0
1. Karnataka,GADAG,2020,563.0,293.0,0.52,Arhar,Kharif,0.39337999999999995,0.4911,0.13945532259472923,5.0
1. Karnataka,GULBARGA,2010,377775.0,206718.0,0.55,Arhar,Kharif,,,,
1. Karnataka,GULBARGA,2011,370523.0,175998.0,0.47,Arhar,Kharif,,,,
1. Karnataka,GULBARGA,2012,340119.0,250736.0,0.74,Arhar,Kharif,,,,
1. Karnataka,GULBARGA,2013,369537.0,394592.0,1.07,Arhar,Kharif,,,,
1. Karnataka,GULBARGA,2014,315343.0,210003.0,0.67,Arhar,Kharif,,,,
1. Karnataka,GULBARGA,2015,261076.0,94993.0,0.36,Arhar,Kharif,,,,
1. Karnataka,GULBARGA,2016,388914.0,541641.0,1.39,Arhar,Kharif,,,,
1. Karnataka,GULBARGA,2017,328808.0,377652.0,1.15,Arhar,Kharif,,,,
1. Karnataka,GULBARGA,2018,613760.0,569078.0,0.93,Arhar,Kharif,,,,
